0x000003F7,amr
0x005CAC81,Sensational press coverage attracted intense public attention to the case  with a few lunatics confessing to the crime just to get their picture in the papers.
0x005D2351,Quiet Mode
0x005E2D03,High strength carbon fiber frame  super-stable fork  alloy rims  this road bike will let people know you are serious about a sport made obsolete by combustion engines years ago.<BR>Get serious about working out by spending a lot of money on gear right now.
0x00605F01,Artwork by Billy Wiener
0x0060A2BC,Arena Workshop B2
0x0061D11F,The Aircraft Workshop expansion allows you to modify your Personal Aircraft inside the Hangar.
0x0062FD33,Collect the ~HUD_COLOUR_BLUE~friend.~s~
0x006647C9,RESPOND
0x00690353,Remove
0x006A44B1,Repossession
0x006A528B,You no longer have access to the Nightclub as you became the Beast.
0x006E1882,Lester said u could get it done. I am so so grateful. Stop by the store asap. I got something money cant buy to give u.
0x006E5E63,Facility
0x006F0829,Invite to Avenger
0x007114A2,L - STICK (PRESS)
0x00728DFC,Are you sure you want to wipe the character 5 saved data?
0x00747DB2,Head To Head Failed
0x007521B0,Advanced Rifle - Scope
0x0075877D,The valet outfits ~HUD_COLOUR_GREEN~~BLIP_OBJECTIVE~~s~ will allow you to steal the getaway vehicles without being detected.
0x00764A94,Stability
0x0077A982,What dwelling is worthy of Kraff? He is humble  yet we exalt him.
0x00786963,Silver Accent Shields
0x0079771B,Suburban busted stealing ideas for T-shirts - stock drops.
0x007993C4,-3002 : 517   CAM_01/06
0x007A9488,Search the building for the maintenance outfits.
0x007D311E,Race Yellow
0x007E510B,<img src='img://CELLPHONE_BADGER/t' height="32" width="32" vspace='-10'/> PUG~nrt~~n~<img src='img://CELLPHONE_BADGER/u' height="32" width="32" vspace='-10'/> RABBIT~nrt~
0x007F032D,Middle Aged
0x0081D5B2,~a~ ~s~paid you a $~1~ ~s~cut.
0x0082AC2C,Hunt the Beast will begin shortly. Press ~INPUT_CONTEXT~ to have a chance of becoming the Beast. If you or your President become the Beast  you will be removed from the Motorcycle Club.
0x0083B10B,Purple Smoke
0x0084C62D,Magenta
0x0085B31A,@neilfabre11 #i #cant #stop #hashtagging #every #single #little #thing
0x0086896C,Dragon and Dagger
0x0086B7F2,These modifications are available to purchase for Arena Contender vehicles at the Arena Workshop.
0x0086FF19,Is It Quiet?
0x0087792C,Destroy the Product ~HUD_COLOUR_RED~~BLIP_PACKAGE~~s~ to earn cash and RP.
0x008958C4,Go to ~y~Bilingsgate Motel.
0x0089AD30,Take out the ~a~.
0x008BDDE7,LUXURY<br>Our line of luxury vehicles is unmatched by any other dealer in San Andreas. We specialize in higher end SUVs  perfect for the inactive  overweight family who never actually goes anywhere requiring 4 wheel drive.
0x008DADD4,Photograph interior
0x008E9FA1,Painting by Emma Rovi
0x008EA948,No Friend Challenges are available.
0x008FB689,~a~ ~s~took down the ~r~Smuggler Helicopter.~s~
0x00948591,Eagle Denim Jacket
0x0095A546,Engine - 3 liter<br>Power - 320hp<br>Top Speed - 175mph<br>0-60 - 5.7 seconds
0x0095C4CE,Suburban Teal Shades
0x00975A0C,The Rockstar game services are unavailable right now. Please try again later.
0x00992508,Signal Jammer C
0x0099D0E6,No Races
0x009A8CDC,Director Mode is not available while playing GTA Online.
0x009B021E,Travel with your Associates.
0x009C07A5,Weapons
0x009C1A83,Broken Left
0x009CD590,There are Jobs available for you to join via your phone.
0x009CDEE0,Pfister Pink
0x009D382A,Grapeseed
0x009DEE8D,Rearwall Black Gilet
0x00A3EA87,You failed to stop ~a~ ~s~before the time expired
0x00A40C65,Faded Blue Regular Fit
0x00A508FA,National chain of hipster coffee houses. The opening of a Cool Beans is one of the first indicators that the death of a neighborhood's cultural identity is imminent.
0x00A51E17,SOUTH HELIPAD
0x00A55D60,Lemoyne St
0x00A6F281,Your office is too near for quick travel.
0x00A70EB7,Fufu
0x00AC64B4,Each race will consist of two Favorites (Evens - 5 to 1)  two Middle-of-the-Pack (6 to 1 - 15 to 1)  and two Outliers (16 to 1 - 30 to 1).
0x00AE04A3,Take a Stab
0x00AF1B61,CLIENT HEALTH
0x00AF7484,Flight School - Helicopter Speed Run
0x00B23474,West Mirror Drive
0x00B24B87,Lazlow
0x00B30F64,FIREWORK LAUNCHER
0x00B5D43C,Throw Tear Gas into the ~HUD_COLOUR_YELLOW~area~s~ to start a riot.
0x00B6937A,Notorious criminal ~a~  described by many as a '~a~' is a danger to the community. Police urge citizens to come forward with information of their whereabouts.
0x00B6D5B4,The Shade
0x00B75879,Exit the Office.
0x00B892A7,<C>~a~</C> was removed from ~a~~s~ as an Associate for causing trouble.
0x00B94EF8,~a~ ~a~ (Impounded)
0x00B9C68C,Short Brushed
0x00BB4CC6,Select game mode.
0x00BDD8D3,You can also open the rear doors by shooting at the center of them to break the lock.
0x00BE5087,Join a public session to access Vehicle Cargo missions.
0x00BE6404,In order to purchase this vehicle you must fulfill the following criteria:~n~- Own a Hangar.~n~
0x00BF35CE,Air Races
0x00C2F52C,The Cosmonaut
0x00C5BCD9,Your Social Club account has been linked and you are now signed in.~n~~n~Log into ~HUD_COLOUR_SOCIAL_CLUB~www.rockstargames.com/socialclub~s~ to view your profile page  track stats  view friend stats  manage your account  change privacy settings  link additional accounts  and access many more features!
0x00C6FDBE,Steal a total of $25000 from the Daily Vault during The Diamond Casino Heist.
0x00C75C5B,Lose the Cops
0x00C828D3,~1~$
0x00C94935,Kimble Hill Drive
0x00CC5CA0,Grove St
0x00CD7703,You have not played any Arena War Series recently.
0x00CDBACF,Athlete
0x00CF4849,You cannot enter the Nightclub Warehouse as a member of this Organization.
0x00CF9583,Vagos
0x00CF97AD,~a~~a~
0x00D0F7F0,Enter the ~a~.
0x00D54C2E,Urgent info – the car boost's been disabled. Avoid the jump.
0x00D6E0BE,Nagasaki Black Hoodie
0x00D76114,Medium
0x00DA5153,Mute Audio On Focus Loss
0x00DBB519,Green Plaid Cheap Pants
0x00DE1919,Purple Hoodie
0x00DE62C0,Silver Cargo Pants
0x00E11D1E,~a~ and ~a~ won Caged In
0x00E25AC2,Puerto Del Sol Marina
0x00E3F64E,You are nearing the drop-off location. Lose your Wanted Level before delivering the vehicle.
0x00E60868,Select the style of your Crew's T-Shirt.
0x00E8483C,Create a Last Team Standing
0x00E89514,Chrome Grille
0x00E897CA,Hot Property
0x00E97AEF,Scruffy Balaclava
0x00EA67BB,FlyUS stock hitting turbulence  bad headline.
0x00EA8E9B,Wait for <C>~a~</C>~s~ to enter the ~HUD_COLOUR_BLUE~vehicle.~s~
0x00EB51C0,Hidden In Plain Sight
0x00ECE229,Deletes All Vehicles.
0x00EE34C8,Our delivery van just got jacked!  What do we do  man?  We can't call the cops.
0x00EE7EF1,Collect and deliver the vehicle ~a~~s~ to your CEO for an RP bonus.
0x00F00563,This is the currently stored vehicle.
0x00F03FAA,You are a cheat. You are being placed in a lobby with other cheats.
0x00F129C3,The Character Transfer option is unavailable right now  please try again later.  For information about scheduled maintenance and known issues  please go to www.rockstargames.com/support.
0x00F2300D,Apt: Weazel Plaza 26
0x00F248E0,Silver Jacket
0x00F278C1,Are you sure you want to join a different GTA Online session? Progress will be automatically saved.
0x00F33F2D,Unable to preview. The project is empty.
0x00F5E2FF,Friends Reunited
0x00F62652,Are you sure you'd like to purchase this Warehouse?
0x00F62EA2,You have been invited to join a GTA Online party. Would you like to accept?
0x00F8B233,GTA CTF
0x00F9E3BF,Take out the target
0x00FA3A03,Weapon Up
0x00FB20A8,HACKING DEVICE
0x00FB3533,WOOAH! They had the cargo stashed offsite nearby. Now that I think of it  it's lucky you never bombed them. Updating your GPS.
0x00FB4EE3,Le Chien 4
0x00FB8FFB,Shooting Range
0x00FE1BB7,Leaderboard
0x00FF1CE7,Enemies will also be alerted if they discover dead bodies or detect the sound of nearby bullet impacts. Take these enemies out quickly to avoid detection. Remember high caliber rounds can pass through multiple targets.
0x0100120A,Player headshot kills
0x01002C19,You have completed The Doomsday Heist; cancel or complete your current act to access the Replay Screen. You can cancel your current act by calling Lester.
0x010099BF,Nervous Ron
0x0100F8B0,Landing Pad Target Large
0x01026739,What are you playing at?! Hurry it up!
0x010297A8,Blue Denim Jacket
0x010442A7,Air Race
0x010613FF,You currently own this interior.
0x010697A4,~BLIP_INFO_ICON~ Now you can maximize explosive devastation and lay down precision fire at the same time. While aiming a weapon press ~INPUT_THROW_GRENADE~ to quickly throw a grenade at your targets.
0x01094489,Collect the Stockade and deliver it to the Business
0x010A7C04,Eris Ash Sneakers
0x010C51B8,Steal the sourced vehicle ~HUD_COLOUR_YELLOW~~BLIP_SPORTS_CAR~~HUD_COLOUR_WHITE~ and deliver it to the warehouse. Mission difficulty is scaled based on the market value of this Vehicle.
0x010F2660,THREAT WARNING: Your VIP is in danger. Protect them at all costs  and remember - your pay check is on the line.
0x0111362B,Return to the planning room in your Facility ~BLIP_NHP_BASE~ to trigger Prep: Onboard Computer.
0x01153008,~a~ ~s~destroyed the ~r~target vehicle.~s~
0x0116365A,You have hit your share limit. You'll be able to share cash again later.
0x01173AE1,Happy holidays from Rockstar  have these gifts on us:~n~1 x ~a~~n~1 x Firework Launcher~n~10 x Fireworks~n~1 x Blue R* Class of '98
0x0117949F,Plaice Place
0x011816E2,Select the aqua interior. A clean and refreshing look for your apartment.
0x01187C6C,Secondary Attack
0x0119E228,2735550132
0x011CA0D7,You can't trade your Arcade whilst it holds stock.
0x012074FF,Blvd Del Perro
0x0121BFB1,Constant Brag
0x01225BD5,YOUR CHOSEN NICKNAME
0x0123987A,BEST LAP
0x0123AF3E,RESPOND
0x0127064D,Quantum
0x0128223F,Blazer Aqua
0x0128455E,Still Pulling Favors
0x01291138,Confirm purchase of the ~a~ interior for $~1~
0x012C2C32,Flashing blue and red blips indicate situations around San Andreas that you can choose to help with.
0x012DB7B2,LC Salamanders Green Shorts
0x012DC336,Gear-head
0x012E9780,Wait for the ~HUD_COLOUR_BLUE~high roller~s~ to enter the helicopter.
0x012FB67C,Press ~INPUT_CONTEXT~ to play Mission - Cashing Out.
0x01335F02,Owner of the most legendary rock club in town!
0x0136E1D2,Are you sure you want to confirm the wheel changes?
0x013782BF,Enter the ~HUD_COLOUR_BLUE~vehicle.
0x0137FE86,Tataviam Mountains
0x013833D9,Elf T-Shirt
0x01398B5F,Darts
0x0139C279,Wait for <C>~a~</C>~s~ to request their Terrorbyte.
0x013BBA2E,Thanks for hitting me up. I'm glad you liked what you saw. Everyone tells me I'm even hotter in person. So what's the deal? What are you looking for?
0x013BD300,Geisha
0x013C7EB4,Mr Spoke bike rental
0x013E5475,Play a Playlist
0x013E9FB8,Diamond Blue
0x013EC275,Sandy Shores Police Station
0x013FB3EC,Invite this member to your Business.
0x014507AE,Your Team
0x014621BB,Professionals
0x0148841D,You destroyed Nightclub Goods.
0x01492CB2,Cash earned on Heist
0x014B4331,Land Race
0x014C0B92,You can't renovate your Office Garage whilst players are playing "Don't Cross The Line".
0x014E235B,Access the computer and start transferring the flight data to your phone.
0x014EB19C,Name
0x014F6311,Los Santos  this is not a drill. Buy an Arena Workshop today and carve out your spectacular career in the most violent form of mass entertainment yet devised by mankind. Report to ~b~<u>www.arenawar.tv</u>~w~~s~ now. This is Arena War.
0x014F7E54,The Cartel! Lose them or take them out.
0x01518305,Steal Cargo
0x01526CFF,You can also hold ~INPUT_CONTEXT~ to dance anywhere else in the Nightclub.
0x015325A1,Rough
0x01537A1D,Tap ~INPUT_SCRIPT_RDOWN~ in time to the beat to build intensity~n~~INPUTGROUP_MOVE~ Dance moves~n~~INPUT_SCRIPT_RDOWN~ / ~INPUT_SCRIPT_LT~ Hold intensity~n~~INPUT_CONTEXT~ Stop dancing
0x01546B3C,You need to purchase a Vehicle Warehouse from SecuroServ in order to store Vehicle Cargo.
0x01558A89,Garage: Del Perro Heights 4
0x0156104D,Scorched Soul
0x0157DEC5,Sell Shares
0x0157E0A7,Dear Mr De Santa ~n~ I have been the manager at the Doppler Cinema for over 7 years and I wanted to personally welcome you as our new owner.  I like to say that this is the real movie business in Vinewood!~n~ Please come in soon and catch a movie.  On the house  of course! ~n~Warm wishes  ~n~ Patrick
0x0159647D,~a~  "~a~"  failed to save. The Rockstar cloud servers are unavailable right now. Please try again later.
0x0159E44A,Dinka Marquis
0x015CBAC5,Use ~INPUT_SCRIPT_RUP~ to deploy your special weapon.
0x015D2059,DAY
0x015FE233,Half the size  all the power  double the recoil: there's no riskier way to say "I'm compensating for something". Part of Lowriders: Custom Classics. This item is permanently free as part of the Criminal Enterprise Starter Pack.
0x01609BDA,2868 Hillcrest Ave
0x01635654,Your Personal Aircraft ~BLIP_HELICOPTER~ has been delivered to a suitable location nearby.
0x0164B871,Braids Blonde
0x0168B6A1,You cannot afford to play.
0x016B63F6,White T-Shirt
0x016DF5A2,Orange Sports Shades
0x016E69C6,Front Fenders
0x016FD8DE,Respray
0x01737F9B,Everyone
0x0173D8D4,Heavy Sniper Mk II Thermal Scope
0x017619E7,~BLIP_INFO_ICON~ Edit Score Intensity in a clip and any accompanying score track will dynamically change during playback.~n~This does not affect Radio Tracks.
0x0177750F,HANDLING
0x017A6640,Select position to move your vehicle to.
0x017B543A,Dark Gray
0x017C0EB9,The Big Score
0x017F9C8A,Front Door
0x01803A10,Accept to continue ~a~.
0x01806045,Gray Banded Leather Jacket
0x0180A635,Score at least 500000 during a single play of The Wizard's Ruin.
0x0181DA83,Minigun
0x0182CBF3,Both gates into the base will be unmanned and there's temporary clearance to enter Zancudo airspace. That should give you time to get to the equipment unchallenged.
0x01838D99,The turret is unavailable while the Avenger is in a base.~n~Press ~INPUT_CONTEXT~ to stand up.
0x01870F41,An American Welcome
0x0187109E,Little Seoul
0x01876CF2,Please note: only one version of this game can be present in your Arcade at a time.
0x0189D560,45 seconds
0x018B5880,1 Ankh! ~n~You win ~1~ Chips.
0x018B8A47,Barber
0x018C1A28,Use the Drone to tranquilize 5 guards during The Diamond Casino Heist.
0x01903C17,Filter Intensity
0x0190A452,BangPrincess
0x01946715,1984 Senora Way
0x0195270E,Fender & Chrome Detail
0x019709F3,VIP TOUR
0x0197799C,Crew ~a~ has defeated your crew in ~a~.
0x0197BF3A,Hold
0x01982E46,I don't want to know how it was done  but good work! I'll talk to you soon.
0x019AF929,Accuracy
0x019BACD7,This vehicle has just been purchased. Wait for it to be delivered to your garage.
0x019E7D88,A DISTANCE
0x01A0B194,You can't trade in this Warehouse as it is larger than the one you have selected.
0x01A0C6F7,The Siesta
0x01A17BE5,This ain't no dream no more.
0x01A2368D,Gray Boiler Suit
0x01A47173,Go to the ~HUD_COLOUR_YELLOW~Van.
0x01A5B74A,Complete the Death Toll platinum Award. ~n~Get 500 kills in Deathmatch.
0x01A5D484,~BLIP_TEMP_1~
0x01A890AB,Catfish View
0x01A9514A,Lip Spoiler
0x01A95FC4,Layered Bob Green
0x01AB7003,There are no Rockstar Created Arena War Series available.
0x01AB7A48,Look through and use held snacks  drinks  and smokes.
0x01AC1A41,You stole Cargo from ~a~
0x01ADD70B,your Capture
0x01B0598A,The set-up cost for this Heist is $~1~.
0x01B149CC,Stock Bodywork
0x01B1BED0,Get back in your vehicle.
0x01B20894,Yeti Saggy Beanie
0x01B242DD,Delete
0x01B505D3,Dark Ape Mask
0x01B6FD2C,Ameropean Partners
0x01B70A6F,You can't renovate your Hangar whilst it holds stock.
0x01B7B754,Adjust which target is the focal point.
0x01B7BD3C,Black T-Shirt
0x01BD098F,OffShore Logistics
0x01BD11CD,MOVING TARGET EVENT END
0x01BDEA90,~nrt~ <img src='img://SCLUB_3/VINEWOOD_RACETRACK_3_9' vspace='0' width='252' height='252'/> ~nrt~~a~ ~a~. ~a~
0x01C0289E,DRAW
0x01C0EAA7,Thermopylae
0x01C14466,Racer
0x01C15D74,This vehicle has just been purchased. Wait for it to be delivered to your Hangar.
0x01C239D6,Grandad ~1~
0x01C3A8A9,Murrieta Heights Vehicle Warehouse
0x01C3C99B,Fixed Car
0x01C40FA2,Game data is corrupt or missing. Affected files will be downloaded now.
0x01C45CDE,Empty Slot
0x01C83607,Find a random Mission and get straight into the action.
0x01C88B18,Very disappointing  Brother ~n~~n~The offering you made was not what we were expecting of you.  The higher beings have now requested these vehicles:~a~ ~a~ ~a~ ~a~ ~n~Accomplish this and you might still be Saveable.  Unlimit your limitations! ~n~~n~Kraff be praised!
0x01C9D231,Assault Rifle  - Flashlight
0x01CA3FD8,Taxi - Clown Car
0x01CA7397,Press ~INPUT_CONTEXT~ to access Apartment options.
0x01CAB05D,Hunted Brown 3
0x01CAB6D9,6 new items
0x01CAC16B,Leave! Me! Alone!
0x01CAD2D7,Slasher Alien 7
0x01CC98FC,Cream Jacket
0x01CE464A,Red Floral Shorts
0x01CF31AA,Arms smugglers have picked up a Crate.
0x01D30FBA,Foam Boards
0x01D4F211,Use ~INPUT_SCRIPT_LEFT_AXIS_X~ to face direction. ~n~Press ~INPUT_FRONTEND_RIGHT~ to stand up.
0x01D52B6D,BLACKJACK
0x01D610FB,Entity XXR
0x01D7DE21,SN: ~a~ will pay $~1~ for this job.
0x01D80573,South Rockford Dr
0x01D84732,@PoundersFootball Because of greedy TV executives  Pounders games will not be on cable or satellite until further notice.
0x01DCE850,ima charge you for the time I wasted waitin 4 ur ass. u gettin an invoice
0x01DD0581,Degenatron Sweater
0x01E7AAA2,As the passenger  you have access to the missile lock-on jammer. Use this to temporarily protect the vehicle from homing missile lock-on.
0x01EA3638,10-Car Garage - Newly renovated garage with excellent square footage and direct road access. What better place to keep brand-new vehicles than the neighborhood with the highest crime rate in Los Santos?
0x01EACA4C,The Resistant
0x01EBFD92,FoxHen Enterprises Ltd
0x01ECD8CA,Proximity Mines
0x01ED503D,Contact
0x01EFF816,High
0x01F26CD0,A rival player
0x01F53053,Smoke on the Water
0x01F91A91,Yellow Wingtips
0x01F9E4BD,The targets were protected
0x01FBC278,View information about your weapons.
0x01FDCDEB,You will be removed from the Event  are you sure?
0x01FF4ADB,Lexington
0x01FFAAE6,Lime Green
0x02000008,The Schafter LWB is marked on the radar.
0x020081AE,Bronze Chain
0x02008EB6,Published
0x0200FA0C,~BLIP_INFO_ICON~ You can adjust Aim Sensitivity in the Settings menu to make each mode play just the way you like.
0x0201242C,You are unable to take part in Kill List until you have completed the tutorial.
0x02022161,A Special Item is available to buy. These items cost more to buy but sell for a larger profit.
0x0203ABA7,FUTURE SHOCK BRUTUS
0x02079381,Artwork by Joan Liddle
0x0207D248,Mors Mutual Insurance rates skyrocket.
0x02085C30,Navy Skate Shoes
0x0208F907,A non-stop musical journey from Los Santos via the lab of Flying Lotus.
0x02090863,The Mercenaries are already working for someone else.
0x02095D74,Help deliver the ~a~ to the ~b~buyers.
0x0209D111,Stone Silver
0x020A5487,Sprunk
0x020B0A82,You can't enter this Nightclub while acquiring a vehicle for a warehouse.
0x020B35B2,~a~ survived the $~1~ Bounty you placed on them.
0x020BF23E,Invetero Tee
0x020D368C,Stank Black Shades
0x020F8C98,Load a saved creation. This content has yet to be published  but if the creation is valid  it will be available to test in GTA Online with other players.
0x02108C9C,Stock Belt Drive Cover
0x0211BB22,DRAW
0x0214B6D1,Can't see where you hit that one.  Let's just call it $~1~.
0x02150B72,Laps
0x02159883,~r~MISSION FAILED~s~
0x0215AF38,You can visit the Epsilon website at www.epsilonprogram.com on your ingame phone browser
0x021639E3,Vehicle: ~a~~n~Value: ~a~~n~Plate: ~a~ ~nrt~ <img src='img://IE_TEXTVECH_96/IE_TEXTVECH_96' vspace='0' width='252' height='150'/> ~nrt~
0x02168E7D,Drag Race Finish
0x0216B6F9,Exclusive Stock
0x02174CF9,LOB Green Shorts
0x0217656F,CASH
0x021A3D41,You need to register as a SecuroServ CEO to access this computer.
0x021B8DCA,Office
0x021C4A6F,The Convict
0x021D2432,Driving: Michael's skill behind the wheel or handlebars. Pop wheelies more easily and retain more control while airborne. Increase by holding wheelies and landing squarely out of big jumps as Michael.
0x021E00AA,...has made an extreme choice and faced the consequences.
0x021E0B99,Did you steal my car????
0x021E1A7D,If you're the turd that stole my truck  then god help you.
0x021F129E,Camera Angle
0x02239DC6,Executive Search Trigger
0x02263827,Embellished Scroll
0x02283B3C,Crevis Fluorescent Hoodie
0x02291BC1,4 new items
0x02295B23,Chop got to stay round ur crib 4 a time. Trill?
0x022B175F,Bone Skull Mask
0x022BB9C9,Elitas Travel
0x022D063D,Your VIP Membership gives you access to Missions and all services. Please note that a membership does not allow you to play Casino games.
0x022F9588,The Blimp is now available on elitastravel.com.
0x0232E42C,Are you sure you want to start a Quick Job?
0x023589D8,The Survival Series is now available. Enter ~a~~s~ to play a range of new Survival Jobs.
0x02359B79,Harmony
0x02379AB9,Penned In
0x02390C2E,Import/Export
0x0239E390,Hotknife
0x023A6D48,Active
0x023A945F,Add Race
0x023D57F6,Someone's having a swell old time with an oligarch's mistress right about now. I'm so annoyed you let him go.
0x023D6232,The Puff
0x023D80E3,Bottle
0x023E2E49,PEGASUS VEHICLES
0x023E868E,Steel Horse Black Helmet
0x023EDA7A,The aim of Three Card Poker is to make the best poker hand possible with three cards  comparing your hand against the Dealer's hand.
0x023EDDC4,Wait for the other ~HUD_COLOUR_BLUE~SUV.~s~
0x02404841,Visit Vespucci Movie Masks ~HUD_COLOUR_GREEN~~BLIP_MASK~~s~ to collect masks for The Diamond Casino Heist.
0x02419974,Wheel
0x024214FC,Press ~INPUT_SCRIPT_RDOWN~ to jump.
0x02436825,The Cargo was stolen and delivered to a rival Hangar
0x0244346D,Steal the Cargo shipment ~HUD_COLOUR_GREEN~~BLIP_SM_CARGO~~s~ and return it to the Hangar.
0x024484A3,Blue Digital Armored
0x02463868,Panda Pussy
0x02464C93,<C>~a~</C> ~s~delivered a Cargo Shipment.
0x024812B9,Invite to Vehicle Warehouse has been sent to ~a~.
0x02484E7A,Palomino Highlands
0x0249BD3D,Olive Chinos
0x0249F8DC,Accept
0x024A1326,You located the data drives.
0x024A506C,Make your blip flash to other players for a short time.
0x024B2BEA,Piracy Prevention
0x024C3F44,Breach of Contract
0x024D3E74,Regroup with friendly Agents
0x0250D355,Mollis and Betta Pharmaceuticals on a strong rise as Bilkinton struggles to stay firm.
0x0251D79C,Head into GTA Online with your Crew and other Crews. Choose how many Crews to play with in this session.
0x02521231,5
0x0253B565,Give weapons.
0x025456F1,0 seconds
0x0257F2BD,The Rockstar cloud servers are unavailable and you need to create a temporary character to play GTA Online.
0x0258EA69,Player cannot fire turret while Passive Mode is enabled.
0x02596BE6,Press ~INPUT_CONTEXT~ to play The Wizard's Ruin for $1.
0x0261B09B,Stay on the vehicle until time runs out.
0x0261EC15,Blooming heck  I'm surprised The Black Madonna hasn't bloody slapped you. Get on your computer and start promoting her properly. Thank you kindly.
0x02629737,~BLIP_INFO_ICON~ Getting a little thin on top? Get your mop chopped at your local stylist or barber shop.
0x02640282,Press ~a~ to confirm purchase for $75 000.
0x0264A204,Brushed Gold
0x0265A8F2,Starling
0x0265CC64,You look real good but I don't care about looks. I like to get inside a woman any way I can. That's where the real beauty is.  Heres my photo. When can we meet to talk about feelings and shit?<img src='img://hush_trevor/hush_trevor' hspace="70" vspace='0' width='190' height='190'/>
0x026640FA,This gondola is full. You may wait for the next one.
0x02669180,Red Two-Tone Tank
0x02673DEE,Pillbox Hill Clubhouse
0x02686D33,Tell the Captain to deliver your Personal Vehicle to the coastline nearest your Yacht.
0x026A5216,Brown Digital Vent
0x026AF1D7,Select your spectator preference.
0x026B6EF5,MTL Apocalypse Cerberus Livery set
0x026CED9C,Objective
0x026F21EB,Use biker melee on the most vehicles.
0x026FD836,BRU
0x0271A8BA,Help Amanda?
0x02738BD2,Picked up
0x0274C568,Jerk
0x02754F7C,Outfit ~1~
0x027610DE,The Big Con
0x027B3E18,LS Tourist Board
0x027D2C5F,Kill the ~a~ ~s~VIP to win
0x027EEBDC,Conf Call
0x028090B3,LSDWP Van
0x0283915F,~HUD_COLOUR_SOCIAL_CLUB~Social Club~s~ policies have been updated. To access Playlists  press ~INPUT_FRONTEND_ACCEPT~ to sign in and accept the updated policies.
0x02869D11,Last Updated
0x0286CC12,The Cognoscenti has been requested.
0x02870B64,BRIEF
0x028712D3,the ~HUD_COLOUR_RED~Omnis~s~
0x02871A41,Hawaiian Snow Ash Shades
0x0287A0EB,Abstract
0x02888F61,Chemicals
0x0289566C,~1~
0x0289AB24,CARBINE RIFLE
0x028B2545,Hold ~INPUT_CONTEXT~ to end the hallucination.~n~Tap ~INPUT_SPRINT~ to sprint.~n~Press ~INPUT_ATTACK~ to attack targets. ~n~
0x028F3819,<C>~a~</C> and <C>~a~</C> tied to win Caged In.
